,how_many,0.0,0.001,5.0,15.001
26611,2,1,0,0,0
27096,41,1,0,0,0
27105,17,0,0,0,0
27119,2,0,0,0,0
27317,3,0,1,0,0
27323,6,0,1,0,0
27341,7,0,1,0,0
27360,5,0,0,1,0
27368,4,0,0,1,0
27376,4,0,0,1,0
27392,2,0,0,0,1
27430,3,0,1,0,0
27978,51,0,0,1,0
28049,20,0,0,0,1
28053,5,0,0,0,1
28081,2,0,0,1,0
28116,2,1,0,0,0
28122,24,1,0,0,0
28137,40,1,0,0,0
28142,45,0,1,0,0
28163,80,0,0,1,0
28165,20,0,0,0,1
28174,50,0,0,0,1
28204,3,0,0,1,0
28206,15,0,0,0,0
28214,16,0,0,0,1
28525,18,0,0,1,0
28531,5,0,0,0,1
28536,20,0,0,0,1
28547,40,0,0,0,1
28557,40,0,0,0,1
28561,50,0,0,1,0
28572,40,0,0,1,0
28577,30,0,1,0,0
28635,2,0,1,0,0
28647,10,0,0,1,0
28652,60,0,1,0,0
28661,30,1,0,0,0
28663,30,0,1,0,0
28673,30,0,1,0,0
28681,35,0,0,1,0
28692,13,0,1,0,0
28695,27,0,0,1,0
28704,30,0,0,1,0
28712,30,0,0,1,0
28721,25,0,0,1,0
28724,1,0,1,0,0
28741,9,0,1,0,0
28761,3,1,0,0,0
28774,2,1,0,0,0
29486,5,0,1,0,0
29575,3,0,1,0,0
29587,1,0,1,0,0
29614,1,0,0,1,0
29661,16,0,0,1,0
29672,9,0,0,1,0
29685,2,0,1,0,0
29688,9,1,0,0,0
29799,3,0,0,0,1
29825,4,1,0,0,0
29836,7,0,1,0,0
29843,17,0,1,0,0
29856,15,0,1,0,0
29861,13,0,0,1,0
29875,39,0,0,1,0
29878,44,0,0,0,1
29891,25,0,0,0,1
29897,21,0,0,0,1
29911,34,0,0,0,1
29918,8,0,0,0,1
29923,13,0,0,0,1
29929,13,0,0,0,1
29949,19,0,0,0,1
29954,16,0,0,0,1
29963,3,0,0,1,0
29985,6,1,0,0,0
30002,9,1,0,0,0
30318,3,1,0,0,0
30401,3,0,0,1,0
30422,15,0,0,0,1
30433,60,0,0,0,1
30444,12,0,0,0,1
30456,1,0,1,0,0
30497,1,0,0,1,0
30501,7,0,1,0,0
30506,2,0,1,0,0
30512,7,0,1,0,0
30523,5,0,1,0,0
30530,15,0,0,1,0
30536,16,0,0,1,0
30546,17,0,0,1,0
30555,18,0,0,1,0
30560,25,0,1,0,0
30564,16,0,1,0,0
30566,8,1,0,0,0
30579,1,1,0,0,0
30744,14,0,1,0,0
30750,8,0,1,0,0
30755,20,0,0,1,0
30759,20,0,0,1,0
