,housing_density,count,2.0,3.0,4.0
104,1.0,0.2996845425867508,0,0,0
105,2.0,0.3028391167192429,1,0,0
106,3.0,0.22712933753943218,0,1,0
107,4.0,0.17034700315457413,0,0,1
108,1.0,0.2817258883248731,0,0,0
109,2.0,0.2868020304568528,1,0,0
110,3.0,0.2512690355329949,0,1,0
111,4.0,0.1802030456852792,0,0,1
112,1.0,0.29333333333333333,0,0,0
113,2.0,0.27466666666666667,1,0,0
114,3.0,0.264,0,1,0
115,4.0,0.168,0,0,1
116,1.0,0.25139664804469275,0,0,0
117,2.0,0.3100558659217877,1,0,0
118,3.0,0.31843575418994413,0,1,0
119,4.0,0.12011173184357542,0,0,1
120,1.0,0.3236151603498542,0,0,0
121,2.0,0.26822157434402333,1,0,0
122,3.0,0.24489795918367346,0,1,0
123,4.0,0.16326530612244897,0,0,1
124,1.0,0.28402366863905326,0,0,0
125,2.0,0.2869822485207101,1,0,0
126,3.0,0.2692307692307692,0,1,0
127,4.0,0.15976331360946747,0,0,1
128,1.0,0.27365728900255754,0,0,0
129,2.0,0.26342710997442453,1,0,0
130,3.0,0.29411764705882354,0,1,0
131,4.0,0.16879795396419436,0,0,1
132,1.0,0.34558823529411764,0,0,0
133,2.0,0.2757352941176471,1,0,0
134,3.0,0.22794117647058823,0,1,0
135,4.0,0.15073529411764705,0,0,1
136,1.0,0.25914634146341464,0,0,0
137,2.0,0.31402439024390244,1,0,0
138,3.0,0.2865853658536585,0,1,0
139,4.0,0.1402439024390244,0,0,1
140,1.0,0.25380710659898476,0,0,0
141,2.0,0.27918781725888325,1,0,0
142,3.0,0.31725888324873097,0,1,0
143,4.0,0.14974619289340102,0,0,1
144,1.0,0.3029661016949153,0,0,0
145,2.0,0.3135593220338983,1,0,0
146,3.0,0.2754237288135593,0,1,0
147,4.0,0.10805084745762712,0,0,1
148,1.0,0.3524590163934426,0,0,0
149,2.0,0.3155737704918033,1,0,0
150,3.0,0.22950819672131148,0,1,0
151,4.0,0.10245901639344263,0,0,1
152,1.0,0.22377622377622378,0,0,0
153,2.0,0.27972027972027974,1,0,0
154,3.0,0.32517482517482516,0,1,0
155,4.0,0.17132867132867133,0,0,1
156,1.0,0.27040816326530615,0,0,0
157,2.0,0.29591836734693877,1,0,0
158,3.0,0.2755102040816326,0,1,0
159,4.0,0.15816326530612246,0,0,1
160,1.0,0.2710843373493976,0,0,0
161,2.0,0.25,1,0,0
162,3.0,0.29518072289156627,0,1,0
163,4.0,0.18373493975903615,0,0,1
164,1.0,0.30513595166163143,0,0,0
165,2.0,0.25075528700906347,1,0,0
166,3.0,0.2688821752265861,0,1,0
167,4.0,0.17522658610271905,0,0,1
168,1.0,0.34234234234234234,0,0,0
169,2.0,0.2882882882882883,1,0,0
170,3.0,0.23423423423423423,0,1,0
171,4.0,0.13513513513513514,0,0,1
172,1.0,0.22413793103448276,0,0,0
173,2.0,0.28160919540229884,1,0,0
174,3.0,0.3505747126436782,0,1,0
175,4.0,0.14367816091954022,0,0,1
176,1.0,0.19672131147540983,0,0,0
177,2.0,0.3483606557377049,1,0,0
178,3.0,0.29508196721311475,0,1,0
179,4.0,0.1598360655737705,0,0,1
